Path,Label,LabelInd,IsAugment
HorseRiding/v_HorseRiding_g19_c06.avi,HorseRiding,10,0
HorseRiding/v_HorseRiding_g19_c06.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g19_c06.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g19_c06.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g19_c06.avi,HorseRiding,10,1
IceDancing/v_IceDancing_g11_c03.avi,IceDancing,11,0
IceDancing/v_IceDancing_g11_c03.avi,IceDancing,11,1
IceDancing/v_IceDancing_g11_c03.avi,IceDancing,11,1
IceDancing/v_IceDancing_g11_c03.avi,IceDancing,11,1
IceDancing/v_IceDancing_g11_c03.avi,IceDancing,11,1
PoleVault/v_PoleVault_g18_c04.avi,PoleVault,13,0
PoleVault/v_PoleVault_g18_c04.avi,PoleVault,13,1
PoleVault/v_PoleVault_g18_c04.avi,PoleVault,13,1
PoleVault/v_PoleVault_g18_c04.avi,PoleVault,13,1
PoleVault/v_PoleVault_g18_c04.avi,PoleVault,13,1
Skiing/v_Skiing_g20_c06.avi,Skiing,17,0
Skiing/v_Skiing_g20_c06.avi,Skiing,17,1
Skiing/v_Skiing_g20_c06.avi,Skiing,17,1
Skiing/v_Skiing_g20_c06.avi,Skiing,17,1
Skiing/v_Skiing_g20_c06.avi,Skiing,17,1
Skiing/v_Skiing_g25_c03.avi,Skiing,17,0
Skiing/v_Skiing_g25_c03.avi,Skiing,17,1
Skiing/v_Skiing_g25_c03.avi,Skiing,17,1
Skiing/v_Skiing_g25_c03.avi,Skiing,17,1
Skiing/v_Skiing_g25_c03.avi,Skiing,17,1
Diving/v_Diving_g23_c06.avi,Diving,6,0
Diving/v_Diving_g23_c06.avi,Diving,6,1
Diving/v_Diving_g23_c06.avi,Diving,6,1
Diving/v_Diving_g23_c06.avi,Diving,6,1
Diving/v_Diving_g23_c06.avi,Diving,6,1
LongJump/v_LongJump_g08_c05.avi,LongJump,12,0
LongJump/v_LongJump_g08_c05.avi,LongJump,12,1
LongJump/v_LongJump_g08_c05.avi,LongJump,12,1
LongJump/v_LongJump_g08_c05.avi,LongJump,12,1
LongJump/v_LongJump_g08_c05.avi,LongJump,12,1
Biking/v_Biking_g25_c03.avi,Biking,3,0
Biking/v_Biking_g25_c03.avi,Biking,3,1
Biking/v_Biking_g25_c03.avi,Biking,3,1
Biking/v_Biking_g25_c03.avi,Biking,3,1
Biking/v_Biking_g25_c03.avi,Biking,3,1
BasketballDunk/v_BasketballDunk_g21_c04.avi,BasketballDunk,2,0
BasketballDunk/v_BasketballDunk_g21_c04.avi,BasketballDunk,2,1
BasketballDunk/v_BasketballDunk_g21_c04.avi,BasketballDunk,2,1
BasketballDunk/v_BasketballDunk_g21_c04.avi,BasketballDunk,2,1
BasketballDunk/v_BasketballDunk_g21_c04.avi,BasketballDunk,2,1
HorseRiding/v_HorseRiding_g09_c03.avi,HorseRiding,10,0
HorseRiding/v_HorseRiding_g09_c03.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g09_c03.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g09_c03.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g09_c03.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g21_c03.avi,HorseRiding,10,0
HorseRiding/v_HorseRiding_g21_c03.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g21_c03.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g21_c03.avi,HorseRiding,10,1
HorseRiding/v_HorseRiding_g21_c03.avi,HorseRiding,10,1
Basketball/v_Basketball_g11_c02.avi,Basketball,1,0
Basketball/v_Basketball_g11_c02.avi,Basketball,1,1
Basketball/v_Basketball_g11_c02.avi,Basketball,1,1
Basketball/v_Basketball_g11_c02.avi,Basketball,1,1
Basketball/v_Basketball_g11_c02.avi,Basketball,1,1
RopeClimbing/v_RopeClimbing_g16_c02.avi,RopeClimbing,14,0
RopeClimbing/v_RopeClimbing_g16_c02.avi,RopeClimbing,14,1
RopeClimbing/v_RopeClimbing_g16_c02.avi,RopeClimbing,14,1
RopeClimbing/v_RopeClimbing_g16_c02.avi,RopeClimbing,14,1
RopeClimbing/v_RopeClimbing_g16_c02.avi,RopeClimbing,14,1
IceDancing/v_IceDancing_g21_c04.avi,IceDancing,11,0
IceDancing/v_IceDancing_g21_c04.avi,IceDancing,11,1
IceDancing/v_IceDancing_g21_c04.avi,IceDancing,11,1
IceDancing/v_IceDancing_g21_c04.avi,IceDancing,11,1
IceDancing/v_IceDancing_g21_c04.avi,IceDancing,11,1
PoleVault/v_PoleVault_g16_c05.avi,PoleVault,13,0
PoleVault/v_PoleVault_g16_c05.avi,PoleVault,13,1
PoleVault/v_PoleVault_g16_c05.avi,PoleVault,13,1
PoleVault/v_PoleVault_g16_c05.avi,PoleVault,13,1
PoleVault/v_PoleVault_g16_c05.avi,PoleVault,13,1
CricketBowling/v_CricketBowling_g14_c04.avi,CricketBowling,5,0
CricketBowling/v_CricketBowling_g14_c04.avi,CricketBowling,5,1
CricketBowling/v_CricketBowling_g14_c04.avi,CricketBowling,5,1
CricketBowling/v_CricketBowling_g14_c04.avi,CricketBowling,5,1
CricketBowling/v_CricketBowling_g14_c04.avi,CricketBowling,5,1
Skiing/v_Skiing_g16_c03.avi,Skiing,17,0
Skiing/v_Skiing_g16_c03.avi,Skiing,17,1
Skiing/v_Skiing_g16_c03.avi,Skiing,17,1
Skiing/v_Skiing_g16_c03.avi,Skiing,17,1
Skiing/v_Skiing_g16_c03.avi,Skiing,17,1
Surfing/v_Surfing_g17_c07.avi,Surfing,20,0
Surfing/v_Surfing_g17_c07.avi,Surfing,20,1
Surfing/v_Surfing_g17_c07.avi,Surfing,20,1
Surfing/v_Surfing_g17_c07.avi,Surfing,20,1
Surfing/v_Surfing_g17_c07.avi,Surfing,20,1
BasketballDunk/v_BasketballDunk_g12_c01.avi,BasketballDunk,2,0
BasketballDunk/v_BasketballDunk_g12_c01.avi,BasketballDunk,2,1
BasketballDunk/v_BasketballDunk_g12_c01.avi,BasketballDunk,2,1
BasketballDunk/v_BasketballDunk_g12_c01.avi,BasketballDunk,2,1
BasketballDunk/v_BasketballDunk_g12_c01.avi,BasketballDunk,2,1
SkateBoarding/v_SkateBoarding_g14_c04.avi,SkateBoarding,16,0
SkateBoarding/v_SkateBoarding_g14_c04.avi,SkateBoarding,16,1
SkateBoarding/v_SkateBoarding_g14_c04.avi,SkateBoarding,16,1
SkateBoarding/v_SkateBoarding_g14_c04.avi,SkateBoarding,16,1
SkateBoarding/v_SkateBoarding_g14_c04.avi,SkateBoarding,16,1
TennisSwing/v_TennisSwing_g25_c01.avi,TennisSwing,21,0
TennisSwing/v_TennisSwing_g25_c01.avi,TennisSwing,21,1
TennisSwing/v_TennisSwing_g25_c01.avi,TennisSwing,21,1
TennisSwing/v_TennisSwing_g25_c01.avi,TennisSwing,21,1
TennisSwing/v_TennisSwing_g25_c01.avi,TennisSwing,21,1
Surfing/v_Surfing_g10_c05.avi,Surfing,20,0
Surfing/v_Surfing_g10_c05.avi,Surfing,20,1
Surfing/v_Surfing_g10_c05.avi,Surfing,20,1
Surfing/v_Surfing_g10_c05.avi,Surfing,20,1
Surfing/v_Surfing_g10_c05.avi,Surfing,20,1
LongJump/v_LongJump_g16_c03.avi,LongJump,12,0
LongJump/v_LongJump_g16_c03.avi,LongJump,12,1
LongJump/v_LongJump_g16_c03.avi,LongJump,12,1
LongJump/v_LongJump_g16_c03.avi,LongJump,12,1
LongJump/v_LongJump_g16_c03.avi,LongJump,12,1
